Рзаб;Pлин;Руст.1;Рзаб.1;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды.1;Pсб.1;G_total;КГФ
278.23;100.6;193.0;278.2;100.6;54.0;35.1;106.6;36.3;63.9;1.5;264.34592;1996.0;110.8;1.6;98.79101899827288;0.0;200.0
256.21;101.2;173.0;256.2;101.2;54.0;40.9;106.5;41.0;63.0;1.7;319.31010000000003;2545.0;115.5;1.9;98.79101899827288;0.0;161.0
234.19;101.3;154.0;234.2;101.6;56.0;45.6;106.4;46.2;69.0;0.9;359.31710000000004;3043.0;113.2;1.0;98.98840365161608;0.0;157.0
216.9;101.4;138.0;216.8;100.2;57.0;49.3;106.43;49.7;71.1;0.8;375.71837999999997;3320.0;116.8;0.8;99.3831729583025;0.0;154.0
174.0;92.0526897987506;163.0;174.0;90.945;44.0;25.6;102.55;25.94277793199168;33.93994240111031;0.23924449687716876;154.32325055462871;1187.0;60.9;0.2;88.82309400444116;0.0;180.0
228.46;92.58793483709262;164.0;229.1;92.642;42.0;24.8;102.507;25.80761152882207;33.62976691729322;0.23698969924812027;154.2891972701504;1168.0;60.1;0.2;89.21786331112757;0.0;178.0
228.1;92.6323398762964;163.0;231.4;94.154;43.0;26.6;102.068;26.23892374702136;33.84913838664805;0.23765479833101524;153.39280235347704;1172.0;59.8;0.2;89.51394029114236;0.0;180.0
382.5;101.9;288.77625;378.6;104.1;26.5;0.0;106.2;25.9;48.3;0.8;178.86037999999996;1891.0;116.8;0.8;100.17271157167531;0.0;224.0
373.7;103.8;282.69675;379.6;103.5;39.0;0.0;106.4;40.1;89.8;3.2;373.31868;1192.0;82.6;0.8;100.17271157167531;0.0;199.0
365.7;103.6;271.551;372.7;102.9;45.3;0.0;106.47;46.1;117.3;0.6;485.34457999999995;2740.0;152.8;3.3;101.85048112509253;0.0;201.0
354.5;104.1;254.32575;364.1;103.8;50.3;0.0;106.4;50.5;138.4;1.6;598.49244;3730.0;196.5;0.6;101.35701949173452;0.0;191.0
345.9;105.8;239.127;354.6;104.0;53.5;0.0;106.7;54.0;158.0;1.8;681.6896;4726.0;232.4;1.7;101.75178879842092;0.0;192.0
370.0389;95.0;268.0;370.1;95.4;56.0;28.6;104.98;30.4;69.9;1.2;261.47294;1967.0;114.7;1.1;93.06686405132001;0.0;222.0
